produto_id,quantidade,nome
20671,100,FORD
20672,100,ESCORT/VERONA 92...
20673,100,GM
20674,100,CORSA 94/09 LD
20675,100,CORSA 94/09 LE
20676,100,VW
20677,100,GOL G3 99/07 / GOL G4 08/12
20678,100,GOL/SAVEIRO/VOYAGE G5 G6 G7
20679,100,LOGUS
20680,100,BRASILIA LD
20681,100,BRASILIA LE
20682,100,GOL 95/05 C/ BORRACHÃO
20683,100,IMPORTADOS
20684,100,GRADE PÁRA-CHOQUE
20685,100,FIAT
20686,100,M15074 PALIO ADV 04/07 S/F L.D
20687,100,M15075 PALIO ADV 04/07 S/F L.E
20688,100,M15076 PALIO ADV 04/07 C/F L.D
20689,100,M15077 PALIO ADV 04/07 C/F L.E
20690,100,M15042 PALIO 04/10 S/F L.D
20691,100,M15043 PALIO 04/10 S/F L.E
20692,100,M15044 PALIO 04/10 C/F L.D
20693,100,M15045 PALIO 04/10 C/F L.E
20694,100,M15040 PALIO 04... CENTRAL
20695,100,M15054 PALIO/SIENA 10/13 S/FURO L.D
20696,100,M15055 PALIO/SIENA 10/13 S/FURO L.E
20697,100,PALIO/SIENA 10/13 C/MILHA L.D
20698,100,PALIO/SIENA 10/13 C/MILHA L.E
20699,100,PALIO/SIENA 14... C/FURO LD
20700,100,PALIO/SIENA 14... C/FURO LE
20701,100,PALIO/SIENA 14... S/FURO LD
20702,100,PALIO/SIENA 14... S/FURO LE
20703,100,PALIO 10... CENTRAL
20704,100,M15065 PALIO/SIENA 12 CENTRAL
20705,100,FORD
20706,100,ECOSPORT 08... L.D
20707,100,ECOSPORT 08... L.E
20708,100,GM
20709,100,M35013 CLASSIC 11....CENTRAL
20710,100,VW
20711,100,M16028 GOL G3 S/F L.D
20712,100,M46029 GOL G3 S/F L.E
20713,100,M46030 GOL G3 C/F L.D
20714,100,M46031 GOL G3 C/F L.E
20715,100,M46027 GOL G3 FASE 1 CENTRAL
20716,100,M46040 GOL G3 S/F L.D
20717,100,M46041 GOL G3 S/F L.E
20718,100,M46042 GOL G3 C/F L.D
20719,100,M46043 GOL G3 C/F L.E
20720,100,M46046 GOL G3 FASE 2 CENTRAL
20721,100,M46048 GOL G5 S/F L.D
20722,100,M46049 GOL G5 S/F L.E
20723,100,M46050 GOL G5 C/F L.D
20724,100,M46051 GOL G5 C/F L.E
20725,100,M46064 GOL G5 COM ARO S/F L.D
20726,100,M46065 GOL G5 COM ARO S/F L.E
20727,100,M46052 GOL G5 COM ARO C/F L.D
20728,100,M46053 GOL G5 COM ARO C/F L.E
20729,100,M46047 GOL G5 CENTRAL SEM FRISO
20730,100,M46072 GOL G5 CENTRAL COM FRISO
20731,100,M46002 GOL G6 S/F L.D
20732,100,M46003 GOL G6 S/F L.E
20733,100,M46004 GOL G6 C/F L.D
20734,100,M46005 GOL G6 C/F L.E
20735,100,M46001 GOL G6 CENTRAL 12/15
20736,100,GOL TRACK/SAVEIRO G6 C/F L.D
20737,100,GOL TRACK/SAVEIRO G6 C/F L.E
20738,100,M46082 GOL G7 S/F LD
20739,100,M46083 GOL G7 S/F LE
20740,100,M46084 GOL G7 C/F LD
20741,100,M46085 GOL G7 C/F LE
20742,100,M46081 GOL G7 CENTRAL FRISO CROMADO
20743,100,GOLF CENTRAL 99/06
20744,100,M48016 FOX 10/14 S/F L.D
20745,100,M48017 FOX 10/14 S/F L.E
20746,100,M48018 FOX 10/14 C/F L.D
20747,100,M48019 FOX 10/14 C/F L.E
20748,100,M48026 FOX 10/14 CENTRAL
20749,100,M48032 FOX/SPACE 15... S/F LD
20750,100,M48033 FOX/SPACE 15... S/F LE
20751,100,M48034 FOX/SPACE 15... C/F LD
20752,100,M48035 FOX/SPACE 15... C/F LE
20753,100,FOX/SPACE 15... CENTRAL F/CROMADO
20754,100,IMPORTADOS
20755,100,M25030 HB20 C/F LD
20756,100,M25031 HB20 C/F LE
20757,100,M25028 HB20 S/F LD
20758,100,M25029 HB20 S/F LE
20759,100,M25026 HB20 12/15 CENTRAL
20760,100,EMBLEMA DA GRADE RADIADOR
20761,100,FIAT
